"Date","Account","Description","Debit/Credit","Category","Sub-Category","Taxable","Amount"
"06/13/2025","Certificate","Interest paid through 6-12-25","Credit","Earned Income","Interest","No","8.38"
"06/13/2025","Certificate","Account Renewed Today","Credit","Uncategorized","Uncategorized","No","0.00"
"06/13/2025","Certificate","Rate Chg 5.1000% to 4.1800%","Credit","Uncategorized","Uncategorized","No","0.00"
"06/12/2025","Credit Card","UTAH-DMV RENEWAL EXPRE 801-297-3809 UT","Debit","Services","Government Services","No","-90.50"
"06/12/2025","Main","GUSTO/PAY 879715","Credit","Uncategorized","Uncategorized","No","1690.10"
"06/11/2025","Credit Card","PAYMENT - THANK YOU","Credit","Transfers & Adjustments","Credit Card Payment","No","90.50"
"06/11/2025","Main","XFR from x4780 to x4327-pay off card","Debit","Miscellaneous Income","Deposit","No","-136.11"
"06/11/2025","Credit Card","PAYMENT - THANK YOU","Credit","Transfers & Adjustments","Credit Card Payment","No","136.11"
"06/11/2025","Main","XFR from x4780 to x4327-pay off after paying registration","Debit","Miscellaneous Income","Deposit","No","-90.50"
"06/10/2025","Credit Card","STATE FARM INSURANCE 800-956-6310 IL","Debit","Services","Accounting & Financial Services","No","-92.68"
"06/10/2025","Credit Card","BRADS FOOD HUT CEDAR CITY UT","Debit","Food & Dining","Restaurants","No","-6.99"
"06/10/2025","Credit Card","ERNIE'S TOO-CEDAR CITY CEDAR CITY UT","Debit","Uncategorized","Uncategorized","No","-36.61"
"06/02/2025","Credit Card","TMOBILE*PREPD AUTOPY 877-778-2106 WA","Debit","Uncategorized","Uncategorized","No","-11.10"
"06/02/2025","Credit Card","WAL-MART #1438 CEDAR CITY UT","Debit","Food & Dining","Groceries","No","-83.29"
"06/01/2025","Credit Card","EXXON FAST GAS #11 PAYSON UT","Debit","Travel & Transportation","Gas & Fuel","No","-34.22"
"05/30/2025","Card","Overdraft Interest Rate = 18.000%","Debit","Fees & Charges","Other Fees & Charges","No","-0.10"
"05/29/2025","Main","GUSTO/PAY 324589","Credit","Uncategorized","Uncategorized","No","1688.05"
"05/29/2025","Main","XFR from x4780 to x3022-refill card","Debit","Miscellaneous Income","Deposit","No","-500.00"
"05/29/2025","Card","XFR from x4780 to x3022-refill card","Credit","Miscellaneous Income","Deposit","No","500.00"
"05/28/2025","Main","XFR from x4780 to x4327-pay off card","Debit","Miscellaneous Income","Deposit","No","-188.12"
"05/28/2025","Credit Card","PAYMENT - THANK YOU","Credit","Transfers & Adjustments","Credit Card Payment","No","188.12"
"05/28/2025","Card","Ch JesusChrist/DONATION","Debit","Uncategorized","Uncategorized","No","-300.00"
"05/26/2025","Credit Card","BRADS FOOD HUT CEDAR CITY UT","Debit","Food & Dining","Restaurants","No","-7.50"
"05/24/2025","Credit Card","WENDY'S 4664 CEDAR CITY UT","Debit","Food & Dining","Fast Food","No","-19.17"
"05/24/2025","Credit Card","UT STATE PARKS SALT LAKE UT","Debit","Services","Government Services","No","-15.00"
"05/23/2025","Credit Card","LIN'S SUPERMARKET # SALT LAKE CITUT","Debit","Food & Dining","Groceries","No","-1.02"
